id,title,genres,overview,poster,backdrop,rating,year,runtime,language,trailer_url
1396869,Diés Iraé,"Horror, Thriller","Rohan's affluent lifestyle spirals out of control as he becomes convinced there is a supernatural entity in his home. As he starts to uncover the mystery, he is drawn into unexpected worlds and alliances, along with the horrors that lie ahead.",https://image.tmdb.org/t/p/w500/123DlTiiezgLaJruVe7RiSi0RFf.jpg,https://image.tmdb.org/t/p/original/8Fl8B1TRkcjkU9VMp9ex9mV6949.jpg,6.5,2025,115 min,ml,https://www.youtube.com/watch?v=iRD0TJMNZbo
864772,Vilaayath Budha,"Action, Drama, Crime","In the secluded hills of Marayur, a region steeped in the scent and lore of sandalwood, Vilayath Buddha unfolds as a potent character drama anchored in pride, memory, and resistance.",https://image.tmdb.org/t/p/w500/nNzsQs6XbPucfpAQpatWOl4aiFb.jpg,https://image.tmdb.org/t/p/original/ynn6vQEBwq1QvTCTv5Fv0rsY0Hk.jpg,0.0,2025,176 min,ml,
657644,Minnal Murali,"Action, Comedy, Fantasy",A tailor gains special powers after being struck by lightning but must take down an unexpected foe if he is to become the superhero his hometown in Kerala needs.,https://image.tmdb.org/t/p/w500/efetKFDyptrRpoHBb103Tg3Auw5.jpg,https://image.tmdb.org/t/p/original/3la3qXbP1LNG3fV072uK2UkuZ9H.jpg,7.148,2021,158 min,ml,
1580775,Gatha Vaibhava,"Fantasy, Romance, Comedy","Gatha Vaibhava is a fantasy drama that weaves together history, mythology, and destiny. When Purathan and Adhunika meet in the present, they embark on a mystical journey through their past lives from the divine realms of Devaloka to Vasco da Gama's voyage and the coastal lands of pre-independence Karnataka. As echoes of the past resurface, they must unravel their fate. Will love endure across lifetimes, or is history doomed to repeat itself?",https://image.tmdb.org/t/p/w500/aacJ77PR6wx1KE6MQN9IUeytg2J.jpg,https://image.tmdb.org/t/p/original/zpkxU2dOfy32kBJ60Zwkv4h6FKB.jpg,4.5,2025,142 min,kn,https://www.youtube.com/watch?v=7F_jUeDLN7c
1168104,Sapta Sagaradaache Ello – Side A,"Romance, Drama","In the heart of 'Sapta Sagaradaache Ello’ resides an ardent love story between Manu and Priya. Set in 2010, the couple hails from a middle-class background. Circumstances land Manu in jail, putting his relationship with Priya in jeopardy.",https://image.tmdb.org/t/p/w500/qjvSMN5dhSh7cymjj6if2aJ4ejW.jpg,https://image.tmdb.org/t/p/original/3J1V1rSV0Rlk5AGsMO7ahD92spD.jpg,8.1,2023,140 min,kn,https://www.youtube.com/watch?v=hcJ1ZHHahMA
1245535,The Devil,"Action, Drama, Comedy, Romance","Rajashekar (Chief Minister of Karnataka) is framed, so his secretary recruits Krishna, a kindhearted lookalike, to impersonate the violent heir Dhanush. When the real Dhanush returns, both men clash for political power and Rukmini’s love. Krishna must protect Rukmini from Dhanush while also rising as a leader the people trust.",https://image.tmdb.org/t/p/w500/gsUXN4dgmelSEa7VRqcpIhngGCu.jpg,https://image.tmdb.org/t/p/original/b1x63x9sZFa1uMGz3wAcGy6pPLq.jpg,1.0,2025,167 min,kn,
1606958,Theertharoopa Thandeyavarige,,"A popular travel vlogger, Prithvi, uncovers a dark secret about his own family. His search for the truth leads him to his estranged father, setting him on a journey of self-discovery.  Does Prithvi Find Closure? Does Destination Meet Destiny?",https://image.tmdb.org/t/p/w500/mfwcUim9bRJDsGRRXotzvj43xFD.jpg,https://image.tmdb.org/t/p/original/nkI3b7JN1qmdF9tEhOTNVXVC0wr.jpg,8.0,2026,130 min,kn,
1557961,Bank Of Bhagyalakshmi,"Comedy, Action, Crime, Thriller","A crew of five amateur thieves reunite for one final score in a village brimming with elections. With no experience and only a reckless plan, things dont go as expected.  Will they make it out, or will the village remember them only as five fools who gambled with fate?",https://image.tmdb.org/t/p/w500/k3ZkowkAPpfLwhD8eV3OhFooYgo.jpg,https://image.tmdb.org/t/p/original/prYwnqHuSdWlBjce6tGOK5KDgqh.jpg,2.0,2025,N/A,kn,https://www.youtube.com/watch?v=ddcN6CBRLFs
1628771,JC The University,"Action, Drama, Crime","A ten-year journey traces Madhusudan, aka Maddy, from a middle-class final-year degree student into the dark worlds of jail and the underworld",https://image.tmdb.org/t/p/w500/ba4hZPY5C3Qvi22TTxalwAE2uI2.jpg,https://image.tmdb.org/t/p/original/fIfqlkfDjJTvSzeB9Wa1JkE0pik.jpg,0.0,2026,N/A,kn,https://www.youtube.com/watch?v=y0zHfcirxoM
1353077,Your's Sincerely RAAM,"War, Romance, Comedy, Drama",Upcoming Kannada Film,https://image.tmdb.org/t/p/w500/yEDMnig9v99da7eucmX96dcckdz.jpg,https://image.tmdb.org/t/p/original/vyUXxaX3tEWV4WCkipSzibc3BSi.jpg,0.0,2026,N/A,kn,
